         CN num,      gen-CN num,      surface CN,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
     chemSROP12,      chemSROP22,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0000,  0.0779, -0.3464,  0.0000,  0.0811, -0.3399
     chemSROP12,       gCN-Ni-Pt,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0138,  0.0000, -0.2809
     chemSROP22,       gCN-Ni-Pt,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,      chemSROP22,       gCN-Pt-Ni,  0.2596,  0.2539,  0.0000,  0.2185, -0.4745,  0.0000,  0.2165, -0.4650
     chemSROP12,       gCN-Pt-Ni,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP22,       gCN-Pt-Ni,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,      chemSROP22,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6442,  0.0000,  0.0772, -0.6206
     chemSROP12,       gCN-Pt-Pt,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0014,  0.0000, -0.2810
     chemSROP22,       gCN-Pt-Pt,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,      chemSROP22,        gCN-Ni-X,  0.2737,  0.2679,  0.0000,  0.0513, -0.3444,  0.0000,  0.0530, -0.3370
     chemSROP12,        gCN-Ni-X,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0026,  0.0000, -0.2809
     chemSROP22,        gCN-Ni-X,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,      chemSROP22,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
     chemSROP12,        gCN-Pt-X,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0007,  0.0000, -0.2810
     chemSROP22,        gCN-Pt-X,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,      chemSROP22,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9253,  0.0000,  0.0938, -0.9047
     chemSROP12,           CN-Pt,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0001,  0.0000, -0.2809
     chemSROP22,           CN-Pt,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,      chemSROP22,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2533,  0.0000,  1.0491, -1.3214
     chemSROP12,  exp neg strain,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP22,  exp neg strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,      chemSROP22,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,          strain,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP22,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,      chemSROP22,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,  inverse strain,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP22,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,       gCN-Ni-Ni,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0024,  0.0779, -0.3464,  0.0368,  0.0815, -0.3400
     chemSROP12,       gCN-Ni-Pt,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0303,  0.1002, -0.3239,  0.0689,  0.1034, -0.3151
      gCN-Ni-Ni,       gCN-Ni-Pt,      chemSROP12,  0.2752,  0.2700,  0.0508,  0.0000, -0.3152,  0.0515,  0.0191, -0.3060
     chemSROP12,       gCN-Ni-Ni,       gCN-Pt-Ni,  0.2596,  0.2538,  0.0208,  0.2186, -0.4745,  0.0754,  0.2174, -0.4654
     chemSROP12,       gCN-Pt-Ni,       gCN-Ni-Ni,  0.2749,  0.2695,  0.0000,  0.0991, -0.3235,  0.0370,  0.1022, -0.3147
      gCN-Ni-Ni,       gCN-Pt-Ni,      chemSROP12,  0.2695,  0.2639,  0.1217,  0.0232, -0.3360,  0.1257,  0.0667, -0.3284
     chemSROP12,       gCN-Ni-Ni,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
     chemSROP12,       gCN-Pt-Pt,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0070,  0.1004, -0.3248,  0.0125,  0.1033, -0.3163
      gCN-Ni-Ni,       gCN-Pt-Pt,      chemSROP12,  0.2606,  0.2549,  0.0808,  0.0515, -0.3702,  0.0809,  0.0864, -0.3616
     chemSROP12,       gCN-Ni-Ni,        gCN-Ni-X,  0.2736,  0.2678,  0.0611,  0.0521, -0.3449,  0.0850,  0.0540, -0.3375
     chemSROP12,        gCN-Ni-X,       gCN-Ni-Ni,  0.2749,  0.2693,  0.0304,  0.1014, -0.3241,  0.0463,  0.1043, -0.3151
      gCN-Ni-Ni,        gCN-Ni-X,      chemSROP12,  0.2759,  0.2708,  0.0223,  0.0000, -0.3096,  0.0227,  0.0135, -0.3002
     chemSROP12,       gCN-Ni-Ni,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
     chemSROP12,        gCN-Pt-X,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0052,  0.1002, -0.3245,  0.0106,  0.1033, -0.3161
      gCN-Ni-Ni,        gCN-Pt-X,      chemSROP12,  0.2626,  0.2570,  0.0535,  0.0513, -0.3634,  0.0537,  0.0882, -0.3548
     chemSROP12,       gCN-Ni-Ni,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9253,  0.0000,  0.0937, -0.9047
     chemSROP12,           CN-Pt,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0031,  0.1000, -0.3243,  0.0077,  0.1031, -0.3160
      gCN-Ni-Ni,           CN-Pt,      chemSROP12,  0.2641,  0.2586,  0.0396,  0.0466, -0.3600,  0.0394,  0.0831, -0.3509
     chemSROP12,       gCN-Ni-Ni,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2534,  0.0036,  1.0492, -1.3216
     chemSROP12,  exp neg strain,       gCN-Ni-Ni,  0.2749,  0.2695,  0.0000,  0.0991, -0.3235,  0.0363,  0.1026, -0.3154
      gCN-Ni-Ni,  exp neg strain,      chemSROP12,  0.2745,  0.2690,  0.1015,  0.0001, -0.3245,  0.1058,  0.0368, -0.3166
     chemSROP12,       gCN-Ni-Ni,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,          strain,       gCN-Ni-Ni,  0.2749,  0.2695,  0.0000,  0.0991, -0.3235,  0.0000,  0.1011, -0.3143
      gCN-Ni-Ni,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,       gCN-Ni-Ni,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,  inverse strain,       gCN-Ni-Ni,  0.2749,  0.2695,  0.0000,  0.0991, -0.3236,  0.0000,  0.1011, -0.3143
      gCN-Ni-Ni,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,       gCN-Ni-Pt,       gCN-Pt-Ni,  0.2595,  0.2537,  0.0327,  0.2191, -0.4750,  0.0782,  0.2181, -0.4663
     chemSROP12,       gCN-Pt-Ni,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0000,  0.0779, -0.3464,  0.0093,  0.0812, -0.3400
      gCN-Ni-Pt,       gCN-Pt-Ni,      chemSROP12,  0.2658,  0.2601,  0.1034,  0.0309, -0.3680,  0.1041,  0.0708, -0.3612
     chemSROP12,       gCN-Ni-Pt,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6442,  0.0000,  0.0772, -0.6206
     chemSROP12,       gCN-Pt-Pt,       gCN-Ni-Pt,  0.2742,  0.2682,  0.0086,  0.0792, -0.3483,  0.0136,  0.0828, -0.3425
      gCN-Ni-Pt,       gCN-Pt-Pt,      chemSROP12,  0.2593,  0.2532,  0.0453,  0.0079, -0.4026,  0.0451,  0.0365, -0.3957
     chemSROP12,       gCN-Ni-Pt,        gCN-Ni-X,  0.2737,  0.2678,  0.0037,  0.0513, -0.3445,  0.0518,  0.0535, -0.3375
     chemSROP12,        gCN-Ni-X,       gCN-Ni-Pt,  0.2743,  0.2683,  0.0000,  0.0779, -0.3464,  0.0174,  0.0814, -0.3400
      gCN-Ni-Pt,        gCN-Ni-X,      chemSROP12,  0.2743,  0.2687,  0.0235,  0.0000, -0.3254,  0.0243,  0.0201, -0.3175
     chemSROP12,       gCN-Ni-Pt,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
     chemSROP12,        gCN-Pt-X,       gCN-Ni-Pt,  0.2743,  0.2683,  0.0056,  0.0788, -0.3477,  0.0107,  0.0826, -0.3420
      gCN-Ni-Pt,        gCN-Pt-X,      chemSROP12,  0.2591,  0.2531,  0.0352,  0.0247, -0.4041,  0.0350,  0.0550, -0.3969
     chemSROP12,       gCN-Ni-Pt,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9047
     chemSROP12,           CN-Pt,       gCN-Ni-Pt,  0.2743,  0.2683,  0.0034,  0.0786, -0.3473,  0.0077,  0.0825, -0.3419
      gCN-Ni-Pt,           CN-Pt,      chemSROP12,  0.2607,  0.2546,  0.0269,  0.0223, -0.4012,  0.0269,  0.0538, -0.3947
     chemSROP12,       gCN-Ni-Pt,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2533,  0.0289,  1.0512, -1.3235
     chemSROP12,  exp neg strain,       gCN-Ni-Pt,  0.2743,  0.2683,  0.0000,  0.0779, -0.3464,  0.0288,  0.0818, -0.3409
      gCN-Ni-Pt,  exp neg strain,      chemSROP12,  0.2735,  0.2676,  0.0827,  0.0000, -0.3498,  0.0862,  0.0308, -0.3440
     chemSROP12,       gCN-Ni-Pt,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0142,  0.0000, -0.2809
     chemSROP12,          strain,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0000,  0.0779, -0.3464,  0.0000,  0.0811, -0.3399
      gCN-Ni-Pt,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,       gCN-Ni-Pt,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0138,  0.0000, -0.2809
     chemSROP12,  inverse strain,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0000,  0.0779, -0.3464,  0.0000,  0.0811, -0.3399
      gCN-Ni-Pt,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,       gCN-Pt-Ni,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6442,  0.0000,  0.0772, -0.6205
     chemSROP12,       gCN-Pt-Pt,       gCN-Pt-Ni,  0.2584,  0.2526,  0.0387,  0.2321, -0.4905,  0.0403,  0.2287, -0.4795
      gCN-Pt-Ni,       gCN-Pt-Pt,      chemSROP12,  0.2294,  0.2256,  0.0762,  0.1132, -0.5560,  0.0740,  0.1241, -0.5424
     chemSROP12,       gCN-Pt-Ni,        gCN-Ni-X,  0.2737,  0.2679,  0.0000,  0.0513, -0.3444,  0.0285,  0.0533, -0.3373
     chemSROP12,        gCN-Ni-X,       gCN-Pt-Ni,  0.2595,  0.2537,  0.0164,  0.2190, -0.4748,  0.0436,  0.2179, -0.4660
      gCN-Pt-Ni,        gCN-Ni-X,      chemSROP12,  0.2656,  0.2599,  0.0644,  0.0421, -0.3631,  0.0656,  0.0835, -0.3564
     chemSROP12,       gCN-Pt-Ni,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8529
     chemSROP12,        gCN-Pt-X,       gCN-Pt-Ni,  0.2585,  0.2527,  0.0320,  0.2310, -0.4888,  0.0346,  0.2284, -0.4786
      gCN-Pt-Ni,        gCN-Pt-X,      chemSROP12,  0.2350,  0.2312,  0.0533,  0.1331, -0.5270,  0.0513,  0.1482, -0.5122
     chemSROP12,       gCN-Pt-Ni,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9046
     chemSROP12,           CN-Pt,       gCN-Pt-Ni,  0.2586,  0.2528,  0.0241,  0.2304, -0.4881,  0.0267,  0.2281, -0.4783
      gCN-Pt-Ni,           CN-Pt,      chemSROP12,  0.2369,  0.2326,  0.0431,  0.1360, -0.5315,  0.0417,  0.1523, -0.5180
     chemSROP12,       gCN-Pt-Ni,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2534,  0.0000,  1.0491, -1.3214
     chemSROP12,  exp neg strain,       gCN-Pt-Ni,  0.2591,  0.2531,  0.1221,  0.2267, -0.4836,  0.1495,  0.2255, -0.4749
      gCN-Pt-Ni,  exp neg strain,      chemSROP12,  0.2569,  0.2511,  0.2355,  0.1322, -0.4907,  0.2333,  0.1549, -0.4809
     chemSROP12,       gCN-Pt-Ni,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0001,  0.0000, -0.2809
     chemSROP12,          strain,       gCN-Pt-Ni,  0.2596,  0.2539,  0.0000,  0.2185, -0.4745,  0.3159,  0.2166, -0.4652
      gCN-Pt-Ni,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,       gCN-Pt-Ni,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,  inverse strain,       gCN-Pt-Ni,  0.2595,  0.2539,  0.0000,  0.2185, -0.4745,  0.0000,  0.2165, -0.4650
      gCN-Pt-Ni,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,       gCN-Pt-Pt,        gCN-Ni-X,  0.2736,  0.2677,  0.0101,  0.0523, -0.3466,  0.0152,  0.0543, -0.3399
     chemSROP12,        gCN-Ni-X,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6205
      gCN-Pt-Pt,        gCN-Ni-X,      chemSROP12,  0.2550,  0.2489,  0.0358,  0.0451, -0.4146,  0.0356,  0.0728, -0.4069
     chemSROP12,       gCN-Pt-Pt,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
     chemSROP12,        gCN-Pt-X,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
      gCN-Pt-Pt,        gCN-Pt-X,      chemSROP12,  0.2408,  0.2388,  0.0099,  0.0000, -0.5398,  0.0096,  0.0000, -0.5221
     chemSROP12,       gCN-Pt-Pt,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9047
     chemSROP12,           CN-Pt,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
      gCN-Pt-Pt,           CN-Pt,      chemSROP12,  0.2420,  0.2399,  0.0082,  0.0000, -0.5497,  0.0079,  0.0000, -0.5314
     chemSROP12,       gCN-Pt-Pt,  exp neg strain,  0.2739,  0.2677,  0.0019,  0.9714, -1.2552,  0.0049,  1.0512, -1.3240
     chemSROP12,  exp neg strain,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
      gCN-Pt-Pt,  exp neg strain,      chemSROP12,  0.2443,  0.2418,  0.0888,  0.0000, -0.6753,  0.0856,  0.0000, -0.6533
     chemSROP12,       gCN-Pt-Pt,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0014,  0.0000, -0.2810
     chemSROP12,          strain,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
      gCN-Pt-Pt,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0001, -0.2809
     chemSROP12,       gCN-Pt-Pt,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0014,  0.0000, -0.2810
     chemSROP12,  inverse strain,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
      gCN-Pt-Pt,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,        gCN-Ni-X,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
     chemSROP12,        gCN-Pt-X,        gCN-Ni-X,  0.2736,  0.2678,  0.0073,  0.0521, -0.3461,  0.0125,  0.0542, -0.3395
       gCN-Ni-X,        gCN-Pt-X,      chemSROP12,  0.2562,  0.2502,  0.0259,  0.0583, -0.4096,  0.0258,  0.0886, -0.4019
     chemSROP12,        gCN-Ni-X,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9253,  0.0000,  0.0937, -0.9047
     chemSROP12,           CN-Pt,        gCN-Ni-X,  0.2736,  0.2678,  0.0047,  0.0519, -0.3458,  0.0092,  0.0541, -0.3394
       gCN-Ni-X,           CN-Pt,      chemSROP12,  0.2581,  0.2521,  0.0195,  0.0544, -0.4054,  0.0195,  0.0858, -0.3979
     chemSROP12,        gCN-Ni-X,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2533,  0.0118,  1.0504, -1.3227
     chemSROP12,  exp neg strain,        gCN-Ni-X,  0.2737,  0.2679,  0.0024,  0.0514, -0.3445,  0.0425,  0.0538, -0.3385
       gCN-Ni-X,  exp neg strain,      chemSROP12,  0.2730,  0.2672,  0.0537,  0.0053, -0.3471,  0.0561,  0.0443, -0.3409
     chemSROP12,        gCN-Ni-X,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0030,  0.0000, -0.2809
     chemSROP12,          strain,        gCN-Ni-X,  0.2737,  0.2679,  0.0000,  0.0513, -0.3444,  0.0000,  0.0530, -0.3370
       gCN-Ni-X,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,        gCN-Ni-X,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0025,  0.0000, -0.2809
     chemSROP12,  inverse strain,        gCN-Ni-X,  0.2737,  0.2679,  0.0000,  0.0513, -0.3444,  0.0000,  0.0530, -0.3370
       gCN-Ni-X,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,        gCN-Pt-X,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9047
     chemSROP12,           CN-Pt,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
       gCN-Pt-X,           CN-Pt,      chemSROP12,  0.2267,  0.2250,  0.0092,  0.0000, -0.6322,  0.0090,  0.0000, -0.6154
     chemSROP12,        gCN-Pt-X,  exp neg strain,  0.2739,  0.2677,  0.0007,  0.9705, -1.2541,  0.0037,  1.0509, -1.3235
     chemSROP12,  exp neg strain,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
       gCN-Pt-X,  exp neg strain,      chemSROP12,  0.2159,  0.2142,  0.1210,  0.0000, -0.9167,  0.1183,  0.0000, -0.8959
     chemSROP12,        gCN-Pt-X,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0007,  0.0000, -0.2810
     chemSROP12,          strain,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
       gCN-Pt-X,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,        gCN-Pt-X,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0006,  0.0000, -0.2810
     chemSROP12,  inverse strain,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
       gCN-Pt-X,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,           CN-Pt,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2533,  0.0020,  1.0503, -1.3229
     chemSROP12,  exp neg strain,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0938, -0.9047
          CN-Pt,  exp neg strain,      chemSROP12,  0.2193,  0.2166,  0.1046,  0.0000, -0.9765,  0.1030,  0.0000, -0.9594
     chemSROP12,           CN-Pt,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0001,  0.0000, -0.2809
     chemSROP12,          strain,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9253,  0.0000,  0.0937, -0.9047
          CN-Pt,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0001, -0.2809
     chemSROP12,           CN-Pt,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,  inverse strain,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9047
          CN-Pt,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,  exp neg strain,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,          strain,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2533,  0.0000,  1.0491, -1.3214
 exp neg strain,          strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,  exp neg strain,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,  inverse strain,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9697, -1.2533,  0.0000,  1.0491, -1.3214
 exp neg strain,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,          strain,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     chemSROP12,  inverse strain,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
         strain,  inverse strain,      chemSROP12,  0.2796,  0.2742,  0.9887,  0.0000, -1.2791,  0.9887,  0.0000, -1.2696
     chemSROP22,       gCN-Ni-Ni,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0000,  0.0779, -0.3464,  0.0000,  0.0811, -0.3399
     chemSROP22,       gCN-Ni-Pt,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0118,  0.1004, -0.3240,  0.0234,  0.1035, -0.3152
      gCN-Ni-Ni,       gCN-Ni-Pt,      chemSROP22,  0.2752,  0.2700,  0.0508,  0.0000, -0.3152,  0.0512,  0.0013, -0.3056
     chemSROP22,       gCN-Ni-Ni,       gCN-Pt-Ni,  0.2596,  0.2538,  0.0000,  0.2185, -0.4745,  0.0248,  0.2176, -0.4656
     chemSROP22,       gCN-Pt-Ni,       gCN-Ni-Ni,  0.2749,  0.2695,  0.0000,  0.0991, -0.3235,  0.0056,  0.1016, -0.3145
      gCN-Ni-Ni,       gCN-Pt-Ni,      chemSROP22,  0.2694,  0.2639,  0.1226,  0.0166, -0.3366,  0.1264,  0.0294, -0.3286
     chemSROP22,       gCN-Ni-Ni,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
     chemSROP22,       gCN-Pt-Pt,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0033,  0.1007, -0.3250,  0.0053,  0.1034, -0.3164
      gCN-Ni-Ni,       gCN-Pt-Pt,      chemSROP22,  0.2605,  0.2549,  0.0811,  0.0268, -0.3707,  0.0809,  0.0341, -0.3615
     chemSROP22,       gCN-Ni-Ni,        gCN-Ni-X,  0.2737,  0.2679,  0.0036,  0.0514, -0.3445,  0.0206,  0.0537, -0.3374
     chemSROP22,        gCN-Ni-X,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0091,  0.1013, -0.3241,  0.0156,  0.1044, -0.3152
      gCN-Ni-Ni,        gCN-Ni-X,      chemSROP22,  0.2759,  0.2708,  0.0223,  0.0000, -0.3096,  0.0226,  0.0001, -0.2999
     chemSROP22,       gCN-Ni-Ni,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
     chemSROP22,        gCN-Pt-X,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0022,  0.1003, -0.3245,  0.0041,  0.1033, -0.3160
      gCN-Ni-Ni,        gCN-Pt-X,      chemSROP22,  0.2625,  0.2570,  0.0538,  0.0287, -0.3641,  0.0538,  0.0372, -0.3549
     chemSROP22,       gCN-Ni-Ni,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9046
     chemSROP22,           CN-Pt,       gCN-Ni-Ni,  0.2749,  0.2694,  0.0014,  0.1001, -0.3243,  0.0029,  0.1031, -0.3158
      gCN-Ni-Ni,           CN-Pt,      chemSROP22,  0.2641,  0.2586,  0.0398,  0.0263, -0.3607,  0.0395,  0.0347, -0.3511
     chemSROP22,       gCN-Ni-Ni,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9699, -1.2535,  0.0000,  1.0492, -1.3215
     chemSROP22,  exp neg strain,       gCN-Ni-Ni,  0.2749,  0.2695,  0.0000,  0.0991, -0.3235,  0.0097,  0.1022, -0.3150
